time,"I(LIP|XI3|XN_05_)"
0.000000e+00,0.000000e+00
2.000000e-13,-1.823009e-08
4.000000e-13,-4.392062e-08
6.000000e-13,-8.285975e-08
8.000000e-13,-1.377555e-07
1.000000e-12,-2.072496e-07
1.200000e-12,-2.639013e-07
1.400000e-12,-3.117561e-07
1.600000e-12,-3.389893e-07
1.800000e-12,-3.384028e-07
2.000000e-12,-3.095744e-07
2.200000e-12,-2.587686e-07
2.400000e-12,-1.971371e-07
2.600000e-12,-1.377438e-07
2.800000e-12,-9.226777e-08
3.000000e-12,-6.826669e-08
3.200000e-12,-6.766364e-08
3.400000e-12,-8.673462e-08
3.600000e-12,-1.174575e-07
3.800000e-12,-1.497549e-07
4.000000e-12,-1.740021e-07
4.200000e-12,-1.831882e-07
4.400000e-12,-1.742825e-07
4.600000e-12,-1.485908e-07
4.800000e-12,-1.111225e-07
5.000000e-12,-6.919304e-08
5.200000e-12,-3.062077e-08
5.400000e-12,-1.938817e-09
5.600000e-12,1.298477e-08
5.800000e-12,1.363553e-08
6.000000e-12,2.735889e-09
6.200000e-12,-1.460009e-08
6.400000e-12,-3.219915e-08
6.600000e-12,-4.430649e-08
6.800000e-12,-4.685437e-08
7.000000e-12,-3.824376e-08
7.200000e-12,-1.950028e-08
7.400000e-12,6.173551e-09
7.600000e-12,3.428983e-08
7.800000e-12,6.016723e-08
8.000000e-12,7.996278e-08
8.200000e-12,9.142576e-08
8.400000e-12,9.424016e-08
8.600000e-12,8.992420e-08
8.800000e-12,8.135139e-08
9.000000e-12,7.202964e-08
9.200000e-12,6.531079e-08
9.400000e-12,6.370141e-08
9.600000e-12,6.840924e-08
9.800000e-12,7.919942e-08
1.000000e-11,9.456373e-08
1.020000e-11,1.121396e-07
1.040000e-11,1.292687e-07
1.060000e-11,1.435653e-07
1.080000e-11,1.533749e-07
1.100000e-11,1.580395e-07
1.120000e-11,1.579354e-07
1.140000e-11,1.542989e-07
1.160000e-11,1.488992e-07
1.180000e-11,1.436402e-07
1.200000e-11,1.401768e-07
1.220000e-11,1.396202e-07
1.240000e-11,1.423768e-07
1.260000e-11,1.481386e-07
1.280000e-11,1.560074e-07
1.300000e-11,1.647176e-07
1.320000e-11,1.729026e-07
1.340000e-11,1.793527e-07
1.360000e-11,1.832161e-07
1.380000e-11,1.841136e-07
1.400000e-11,1.821548e-07
1.420000e-11,1.778647e-07
1.440000e-11,1.720438e-07
1.460000e-11,1.655958e-07
1.480000e-11,1.593568e-07
1.500000e-11,1.539566e-07
1.520000e-11,1.497321e-07
1.540000e-11,1.467003e-07
1.560000e-11,1.445879e-07
1.580000e-11,1.429049e-07
1.600000e-11,1.410436e-07
1.620000e-11,1.383828e-07
1.640000e-11,1.343816e-07
1.660000e-11,1.286465e-07
1.680000e-11,1.209674e-07
1.700000e-11,1.113193e-07
1.720000e-11,9.983574e-08
1.740000e-11,8.676103e-08
1.760000e-11,7.239223e-08
1.780000e-11,5.702114e-08
1.800000e-11,4.088497e-08
1.820000e-11,2.413168e-08
1.840000e-11,6.802598e-09
1.860000e-11,-1.116804e-08
1.880000e-11,-2.993964e-08
1.900000e-11,-4.974236e-08
1.920000e-11,-7.084974e-08
1.940000e-11,-9.355155e-08
1.960000e-11,-1.181306e-07
1.980000e-11,-1.448458e-07
2.000000e-11,-1.739231e-07
2.020000e-11,-2.098554e-07
2.040000e-11,-2.516237e-07
2.060000e-11,-2.955677e-07
